Threshold,Accepted,Accuracy
0.5,1.0,0.9433409727527374
0.5001,1.0,0.9433409727527374
0.5002,1.0,0.9433409727527374
0.5003,1.0,0.9433409727527374
0.5004,0.9998726763432646,0.9434610976696803
0.5005,0.9998726763432646,0.9434610976696803
0.5006,0.9998726763432646,0.9434610976696803
0.5007,0.9998726763432646,0.9434610976696803
0.5008,0.9998726763432646,0.9434610976696803
0.5009,0.9998726763432646,0.9434610976696803
0.501,0.9998726763432646,0.9434610976696803
0.5011,0.9998726763432646,0.9434610976696803
0.5012,0.9998726763432646,0.9434610976696803
0.5013,0.9998726763432646,0.9434610976696803
0.5014,0.9998726763432646,0.9434610976696803
0.5015,0.9998726763432646,0.9434610976696803
0.5016,0.9998726763432646,0.9434610976696803
0.5017,0.9998726763432646,0.9434610976696803
0.5018,0.9998726763432646,0.9434610976696803
0.5019,0.9998726763432646,0.9434610976696803
0.502,0.9997453526865292,0.9435812531839022
0.5021,0.9997453526865292,0.9435812531839022
0.5022,0.9997453526865292,0.9435812531839022
0.5023,0.9997453526865292,0.9435812531839022
0.5024,0.9997453526865292,0.9435812531839022
0.5025,0.9997453526865292,0.9435812531839022
0.5026,0.9997453526865292,0.9435812531839022
0.5027,0.9996180290297937,0.9437014393070946
0.5028,0.9996180290297937,0.9437014393070946
0.5029,0.9996180290297937,0.9437014393070946
0.503,0.9996180290297937,0.9437014393070946
0.5031,0.9996180290297937,0.9437014393070946
0.5032,0.9996180290297937,0.9437014393070946
0.5033,0.9996180290297937,0.9437014393070946
0.5034,0.9996180290297937,0.9437014393070946
0.5035,0.9996180290297937,0.9437014393070946
0.5036,0.9996180290297937,0.9437014393070946
0.5037,0.9996180290297937,0.9437014393070946
0.5038,0.9996180290297937,0.9437014393070946
0.5039,0.9996180290297937,0.9437014393070946
0.504,0.9996180290297937,0.9437014393070946
0.5041,0.9996180290297937,0.9437014393070946
0.5042,0.9996180290297937,0.9437014393070946
0.5043,0.9996180290297937,0.9437014393070946
0.5044,0.9996180290297937,0.9437014393070946
0.5045,0.9996180290297937,0.9437014393070946
0.5046,0.9996180290297937,0.9437014393070946
0.5047,0.9996180290297937,0.9437014393070946
0.5048,0.9996180290297937,0.9437014393070946
0.5049,0.9996180290297937,0.9437014393070946
0.505,0.9996180290297937,0.9437014393070946
0.5051,0.9996180290297937,0.9437014393070946
