Threshold,Accepted,Accuracy
0.5,1.0,0.6332448437819073
0.5001,0.9881560138860527,0.6371151064269477
0.5002,0.9881560138860527,0.6371151064269477
0.5003,0.9881560138860527,0.6371151064269477
0.5004,0.9881560138860527,0.6371151064269477
0.5005,0.9881560138860527,0.6371151064269477
0.5006,0.9881560138860527,0.6371151064269477
0.5007,0.9881560138860527,0.6371151064269477
0.5008,0.9881560138860527,0.6371151064269477
0.5009,0.9881560138860527,0.6371151064269477
0.501,0.9881560138860527,0.6371151064269477
0.5011,0.9881560138860527,0.6371151064269477
0.5012,0.9881560138860527,0.6371151064269477
0.5013,0.9881560138860527,0.6371151064269477
0.5014,0.9881560138860527,0.6371151064269477
0.5015,0.9881560138860527,0.6371151064269477
0.5016,0.9881560138860527,0.6371151064269477
0.5017,0.9881560138860527,0.6371151064269477
0.5018,0.9881560138860527,0.6371151064269477
0.5019,0.9881560138860527,0.6371151064269477
0.502,0.9881560138860527,0.6371151064269477
0.5021,0.9881560138860527,0.6371151064269477
0.5022,0.9881560138860527,0.6371151064269477
0.5023,0.9881560138860527,0.6371151064269477
0.5024,0.9881560138860527,0.6371151064269477
0.5025,0.9881560138860527,0.6371151064269477
0.5026,0.9881560138860527,0.6371151064269477
0.5027,0.9881560138860527,0.6371151064269477
0.5028,0.9881560138860527,0.6371151064269477
0.5029,0.9881560138860527,0.6371151064269477
0.503,0.9881560138860527,0.6371151064269477
0.5031,0.9881560138860527,0.6371151064269477
0.5032,0.9881560138860527,0.6371151064269477
0.5033,0.9881560138860527,0.6371151064269477
0.5034,0.9881560138860527,0.6371151064269477
0.5035,0.9881560138860527,0.6371151064269477
0.5036,0.9881560138860527,0.6371151064269477
0.5037,0.9881560138860527,0.6371151064269477
0.5038,0.9881560138860527,0.6371151064269477
0.5039,0.9881560138860527,0.6371151064269477
0.504,0.9881560138860527,0.6371151064269477
0.5041,0.9881560138860527,0.6371151064269477
0.5042,0.9881560138860527,0.6371151064269477
0.5043,0.9881560138860527,0.6371151064269477
0.5044,0.9881560138860527,0.6371151064269477
0.5045,0.9881560138860527,0.6371151064269477
0.5046,0.9881560138860527,0.6371151064269477
0.5047,0.9881560138860527,0.6371151064269477
0.5048,0.9881560138860527,0.6371151064269477
0.5049,0.9881560138860527,0.6371151064269477
0.505,0.9881560138860527,0.6371151064269477
0.5051,0.9879518072289156,0.6370400992145515
0.5052,0.9875433939146416,0.6370967741935484
0.5053,0.9871349806003675,0.6371534960695077
0.5054,0.9871349806003675,0.6371534960695077
0.5055,0.9871349806003675,0.6371534960695077
0.5056,0.9867265672860935,0.6374172185430463
0.5057,0.9863181539718194,0.6376811594202898
0.5058,0.9863181539718194,0.6376811594202898
0.5059,0.9863181539718194,0.6376811594202898
0.506,0.9861139473146825,0.6378132118451025
0.5061,0.9859097406575454,0.6379453189726595
0.5062,0.9857055340004084,0.6380774808369588
0.5063,0.9852971206861344,0.6381347150259067
0.5064,0.9850929140289973,0.6380597014925373
0.5065,0.9846845007147234,0.6381169639153879
0.5066,0.9844802940575863,0.6380419000207426
0.5067,0.9844802940575863,0.6380419000207426
0.5068,0.9842760874004493,0.6379668049792531
0.5069,0.9840718807433122,0.6380991907034654
0.507,0.9838676740861753,0.6380240763802407
0.5071,0.9832550541147641,0.638006230529595
0.5072,0.9830508474576272,0.6379310344827587
0.5073,0.9822340208290791,0.6382536382536382
0.5074,0.9822340208290791,0.6382536382536382
0.5075,0.981825607514805,0.6383111480865225
0.5076,0.981825607514805,0.6383111480865225
0.5077,0.981417194200531,0.638160632542655
0.5078,0.9810087808862569,0.6380099916736053
0.5079,0.9808045742291198,0.6379346241932126
0.508,0.9806003675719829,0.6378592253227822
0.5081,0.9803961609148458,0.6377837950426994
0.5082,0.9799877476005717,0.6378412169201917
0.5083,0.9797835409434348,0.637765735723218
0.5084,0.9791709209720237,0.637956204379562
0.5085,0.9787625076577496,0.6380137700813686
0.5086,0.9781498876863386,0.6382045929018789
0.5087,0.9779456810292015,0.6383378575903111
0.5088,0.9779456810292015,0.6383378575903111
0.5089,0.9775372677149275,0.6383956548986839
0.509,0.9773330610577905,0.6385290430422065
0.5091,0.9773330610577905,0.6385290430422065
0.5092,0.9773330610577905,0.6385290430422065
0.5093,0.9771288544006534,0.638662486938349
0.5094,0.9765162344292424,0.6386449184441656
0.5095,0.9765162344292424,0.6386449184441656
0.5096,0.9763120277721054,0.6387784982221293
0.5097,0.9761078211149683,0.6389121338912134
0.5098,0.9761078211149683,0.6389121338912134
0.5099,0.9759036144578314,0.6390458254865035
0.51,0.9754952011435573,0.6388947037889889
0.5101,0.9752909944864202,0.6390284757118928
0.5102,0.9752909944864202,0.6390284757118928
0.5103,0.9752909944864202,0.6390284757118928
0.5104,0.9750867878292833,0.6389528795811519
0.5105,0.9748825811721462,0.6388772517804776
0.5106,0.9746783745150092,0.6390111041273832
0.5107,0.9746783745150092,0.6390111041273832
0.5108,0.9746783745150092,0.6390111041273832
0.5109,0.9744741678578722,0.6391450125733446
0.511,0.9740657545435981,0.6392033542976939
0.5111,0.9738615478864611,0.6391276997274061
0.5112,0.9736573412293241,0.639261744966443
0.5113,0.9734531345721871,0.6391860709041326
0.5114,0.97324892791505,0.639110365086026
0.5115,0.973044721257913,0.6390346274921301
0.5116,0.9720236879722279,0.6392857142857142
0.5117,0.9716152746579538,0.639344262295082
0.5118,0.9714110680008168,0.6392684464998949
0.5119,0.9712068613436798,0.6394028595458369
0.512,0.9710026546865428,0.6393270241850684
0.5121,0.9703900347151317,0.639520202020202
