Threshold,Accepted,Accuracy
0.5,1.0,0.723
0.5001,1.0,0.723
0.5002,1.0,0.723
0.5003,1.0,0.723
0.5004,1.0,0.723
0.5005,1.0,0.723
0.5006,1.0,0.723
0.5007,1.0,0.723
0.5008,1.0,0.723
0.5009,1.0,0.723
0.501,1.0,0.723
0.5011,1.0,0.723
0.5012,1.0,0.723
0.5013,1.0,0.723
0.5014,1.0,0.723
0.5015,1.0,0.723
0.5016,1.0,0.723
0.5017,0.999,0.7227227227227228
0.5018,0.998,0.7234468937875751
0.5019,0.998,0.7234468937875751
0.502,0.998,0.7234468937875751
0.5021,0.998,0.7234468937875751
0.5022,0.998,0.7234468937875751
0.5023,0.998,0.7234468937875751
0.5024,0.998,0.7234468937875751
0.5025,0.998,0.7234468937875751
0.5026,0.998,0.7234468937875751
0.5027,0.997,0.7231695085255767
0.5028,0.996,0.7238955823293173
0.5029,0.996,0.7238955823293173
0.503,0.996,0.7238955823293173
0.5031,0.996,0.7238955823293173
0.5032,0.996,0.7238955823293173
0.5033,0.996,0.7238955823293173
0.5034,0.996,0.7238955823293173
0.5035,0.996,0.7238955823293173
0.5036,0.996,0.7238955823293173
0.5037,0.996,0.7238955823293173
0.5038,0.996,0.7238955823293173
0.5039,0.995,0.7246231155778895
0.504,0.995,0.7246231155778895
0.5041,0.995,0.7246231155778895
0.5042,0.995,0.7246231155778895
0.5043,0.995,0.7246231155778895
0.5044,0.995,0.7246231155778895
0.5045,0.995,0.7246231155778895
0.5046,0.995,0.7246231155778895
0.5047,0.995,0.7246231155778895
0.5048,0.995,0.7246231155778895
0.5049,0.995,0.7246231155778895
0.505,0.995,0.7246231155778895
0.5051,0.995,0.7246231155778895
0.5052,0.995,0.7246231155778895
0.5053,0.995,0.7246231155778895
0.5054,0.995,0.7246231155778895
0.5055,0.995,0.7246231155778895
0.5056,0.995,0.7246231155778895
0.5057,0.994,0.7243460764587525
0.5058,0.994,0.7243460764587525
0.5059,0.993,0.7240684793554885
0.506,0.993,0.7240684793554885
0.5061,0.993,0.7240684793554885
0.5062,0.993,0.7240684793554885
0.5063,0.993,0.7240684793554885
0.5064,0.993,0.7240684793554885
0.5065,0.993,0.7240684793554885
0.5066,0.993,0.7240684793554885
0.5067,0.993,0.7240684793554885
0.5068,0.993,0.7240684793554885
0.5069,0.993,0.7240684793554885
0.507,0.992,0.7247983870967742
0.5071,0.992,0.7247983870967742
0.5072,0.992,0.7247983870967742
0.5073,0.992,0.7247983870967742
0.5074,0.992,0.7247983870967742
0.5075,0.992,0.7247983870967742
0.5076,0.992,0.7247983870967742
0.5077,0.992,0.7247983870967742
0.5078,0.992,0.7247983870967742
0.5079,0.992,0.7247983870967742
0.508,0.992,0.7247983870967742
0.5081,0.992,0.7247983870967742
0.5082,0.992,0.7247983870967742
0.5083,0.992,0.7247983870967742
0.5084,0.992,0.7247983870967742
0.5085,0.992,0.7247983870967742
0.5086,0.992,0.7247983870967742
0.5087,0.992,0.7247983870967742
0.5088,0.992,0.7247983870967742
0.5089,0.992,0.7247983870967742
0.509,0.992,0.7247983870967742
0.5091,0.992,0.7247983870967742
0.5092,0.992,0.7247983870967742
0.5093,0.992,0.7247983870967742
0.5094,0.992,0.7247983870967742
0.5095,0.992,0.7247983870967742
0.5096,0.992,0.7247983870967742
0.5097,0.992,0.7247983870967742
0.5098,0.992,0.7247983870967742
0.5099,0.992,0.7247983870967742
0.51,0.992,0.7247983870967742
0.5101,0.992,0.7247983870967742
0.5102,0.992,0.7247983870967742
0.5103,0.992,0.7247983870967742
0.5104,0.992,0.7247983870967742
0.5105,0.992,0.7247983870967742
0.5106,0.992,0.7247983870967742
0.5107,0.992,0.7247983870967742
0.5108,0.992,0.7247983870967742
0.5109,0.992,0.7247983870967742
0.511,0.992,0.7247983870967742
0.5111,0.992,0.7247983870967742
0.5112,0.992,0.7247983870967742
0.5113,0.992,0.7247983870967742
0.5114,0.992,0.7247983870967742
0.5115,0.992,0.7247983870967742
0.5116,0.992,0.7247983870967742
0.5117,0.992,0.7247983870967742
0.5118,0.992,0.7247983870967742
0.5119,0.992,0.7247983870967742
0.512,0.992,0.7247983870967742
0.5121,0.992,0.7247983870967742
0.5122,0.991,0.7255297679112008
0.5123,0.991,0.7255297679112008
0.5124,0.991,0.7255297679112008
0.5125,0.991,0.7255297679112008
0.5126,0.991,0.7255297679112008
0.5127,0.991,0.7255297679112008
0.5128,0.991,0.7255297679112008
0.5129,0.991,0.7255297679112008
0.513,0.99,0.7262626262626263
0.5131,0.99,0.7262626262626263
0.5132,0.99,0.7262626262626263
0.5133,0.99,0.7262626262626263
0.5134,0.99,0.7262626262626263
0.5135,0.99,0.7262626262626263
0.5136,0.99,0.7262626262626263
0.5137,0.99,0.7262626262626263
0.5138,0.99,0.7262626262626263
0.5139,0.989,0.7259858442871587
0.514,0.988,0.7257085020242915
